n,r,m
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})",[:HAS_AIM {aimCategory: HAS_AIM_hoofddoel}],"(:Aim {aimId: 104, aimIsSelectable: x, aimNameEn: carrying, aimName: dragen})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})",[:HAS_AIM {aimCategory: HAS_AIM_hoofddoel}],"(:Aim {aimId: 105, aimIsSelectable: x, aimNameEn: holding, aimName: vasthouden})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})",[:HAS_PROPERTY {exoPropertyValue: nee}],(:ExoProperty {exoPropertyName: compact})
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})",[:HAS_PROPERTY {exoPropertyValue: ++}],(:ExoProperty {exoPropertyName: ondersteuningsgraad})
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})","[:ASSISTS_IN {aim: Ja, rangeAdjustable: Nee, lowerBoundMinAngle: 20, lowerBoundMaxAngle: 20, upperBoundMinAngle: 180, sizeAdjustable: Nee, upperBoundMaxAngle: 180, direction: 1}]","(:Dof {dofId: 12, nameNeg: retroflexie van de schouder, dofDirection: ExtFlex, namePos: anteflexie van de schouder, dofName: Anteflexie(+)/Retroflexie(-)_Schouder})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})","[:ASSISTS_IN {aim: Ja, rangeAdjustable: Nee, lowerBoundMinAngle: 40, lowerBoundMaxAngle: 40, upperBoundMinAngle: 150, sizeAdjustable: Nee, upperBoundMaxAngle: 150, direction: 1}]","(:Dof {dofId: 13, nameNeg: adductie van de schouder, dofDirection: AddAbd, namePos: abductie van de schouder, dofName: Abductie(+)/Adductie(-)_Schouder})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: elleboog op of boven schouderniveau statisch, structureKinematicNameId: 401, structureKinematicNameNameEn: elbow at or above shoulder level static, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_nevendoel}],"(:StructureKinematicName {structureKinematicNameName: elleboog op of boven schouderniveau repetitief, structureKinematicNameId: 402, structureKinematicNameNameEn: elbow at or above shoulder level repetitive, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: handen boven hoofdniveau statisch, structureKinematicNameId: 403, structureKinematicNameNameEn: hands above head level static, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_nevendoel}],"(:StructureKinematicName {structureKinematicNameName: handen boven hoofdniveau repetitief, structureKinematicNameId: 404, structureKinematicNameNameEn: hands above head level repetitive, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_PROPERTY {exoPropertyValue: ja}],(:ExoProperty {exoPropertyName: compact})
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_PROPERTY {exoPropertyValue: ++}],(:ExoProperty {exoPropertyName: ondersteuningsgraad})
