n,r,m
"(:JointT {jointTName: Nek, jointTId: 1})",[:IS_CONNECTED_WITH],"(:Part {partId: 1, partName: Hoofd, partType: Body})"
"(:JointT {jointTName: Nek, jointTId: 1})",[:IS_CONNECTED_WITH],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:JointT {jointTName: Heup, jointTId: 6})",[:IS_CONNECTED_WITH],"(:Part {partId: 10, partName: Bekken, partType: Body})"
"(:JointT {jointTName: Heup, jointTId: 6})",[:IS_CONNECTED_WITH],"(:Part {partId: 11, partName: Bovenbeen, partType: Body})"
"(:JointT {jointTName: Rug, jointTId: 7})",[:IS_CONNECTED_WITH],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:JointT {jointTName: Rug, jointTId: 7})",[:IS_CONNECTED_WITH],"(:Part {partId: 10, partName: Bekken, partType: Body})"
"(:JointT {jointTName: Knie, jointTId: 8})",[:IS_CONNECTED_WITH],"(:Part {partId: 11, partName: Bovenbeen, partType: Body})"
"(:JointT {jointTName: Knie, jointTId: 8})",[:IS_CONNECTED_WITH],"(:Part {partId: 12, partName: Onderbeen, partType: Body})"
"(:JointT {jointTName: Enkel, jointTId: 9})",[:IS_CONNECTED_WITH],"(:Part {partId: 9, partName: Voet, partType: Body})"
"(:JointT {jointTName: Enkel, jointTId: 9})",[:IS_CONNECTED_WITH],"(:Part {partId: 12, partName: Onderbeen, partType: Body})"
"(:JointT {jointTName: Schouder, jointTId: 10})",[:IS_CONNECTED_WITH],"(:Part {partId: 5, partName: Bovenarm, partType: Body})"
"(:JointT {jointTName: Schouder, jointTId: 10})",[:IS_CONNECTED_WITH],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:JointT {jointTName: Elleboog, jointTId: 11})",[:IS_CONNECTED_WITH],"(:Part {partId: 4, partName: Onderarm, partType: Body})"
"(:JointT {jointTName: Elleboog, jointTId: 11})",[:IS_CONNECTED_WITH],"(:Part {partId: 5, partName: Bovenarm, partType: Body})"
"(:JointT {jointTName: Pols, jointTId: 12})",[:IS_CONNECTED_WITH],"(:Part {partId: 3, partName: Hand, partType: Body})"
"(:JointT {jointTName: Pols, jointTId: 12})",[:IS_CONNECTED_WITH],"(:Part {partId: 4, partName: Onderarm, partType: Body})"
"(:JointT {jointTName: VoetGrond, jointTId: 13})",[:IS_CONNECTED_WITH],"(:Part {partId: 2, partName: Ground, partType: Object})"
"(:JointT {jointTName: VoetGrond, jointTId: 13})",[:IS_CONNECTED_WITH],"(:Part {partId: 9, partName: Voet, partType: Body})"
"(:JointT {jointTName: HandObject, jointTId: 14})",[:IS_CONNECTED_WITH],"(:Part {partId: 3, partName: Hand, partType: Body})"
"(:JointT {jointTName: HandObject, jointTId: 14})",[:IS_CONNECTED_WITH],"(:Part {partId: 8, partName: Object, partType: Object})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})","[:LIMITS_IN {aim: Ja, adjustable: Nee, direction: -1}]","(:Dof {dofId: 2, nameNeg: lateroflexie van de rug naar links, dofDirection: AddAbd, namePos: lateroflexie van de rug naar rechts, dofName: Lateroflexie (Rechts(+)/Links(-))_Rug})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})","[:LIMITS_IN {aim: Ja, adjustable: Nee, direction: -1}]","(:Dof {dofId: 3, nameNeg: rotatie van de rug naar links, dofDirection: EndoExo, namePos: rotatie van de rug naar rechts, dofName: Rotatie (Rechts(+)/Links(-))_Rug})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})","[:LIMITS_IN {aim: Nee, adjustable: Nee, direction: -1}]","(:Dof {dofId: 10, nameNeg: lateroflexie van de nek naar links, dofDirection: AddAbd, namePos: lateroflexie van de nek naar rechts, dofName: Lateroflexie (Rechts(+)/Links(-))_Nek})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})","[:LIMITS_IN {aim: Nee, adjustable: Nee, direction: -1}]","(:Dof {dofId: 11, nameNeg: rotatie van de nek naar links, dofDirection: EndoExo, namePos: rotatie van de nek naar rechts, dofName: Rotatie (Rechts(+)/Links(-))_Nek})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})","[:LIMITS_IN {aim: Nee, maxAngle: -15, minAngle: -15, direction: -1}]","(:Dof {dofId: 12, nameNeg: retroflexie van de schouder, dofDirection: ExtFlex, namePos: anteflexie van de schouder, dofName: Anteflexie(+)/Retroflexie(-)_Schouder})"
"(:Exo {exoId: 25, exoDescription: De CareExo Lift is een passief exosuit, specifiek voor de zorg ontwikkeld, dat de rug, heup en knieën ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij patiëntentransfers., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CareExo Lift, exoManufacturer: Hunic})","[:LIMITS_IN {aim: Nee, adjustable: Nee, direction: 1}]","(:Dof {dofId: 19, nameNeg: extensie van de knie, dofDirection: ExtFlex, namePos: flexie van de knie, dofName: Flexie(+)/Extensie(-)_Knie})"
"(:Exo {exoId: 29, exoDescription: De Chairless Chair is een passief exoskelet dat de benen en onderrug ontlast doordat er snel, gemakkelijk en flexibel gewisseld kan worden tussen zitten, staan en lopen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Chairless Chair, exoManufacturer: Noonee})","[:LIMITS_IN {aim: Nee, maxAngle: 95, minAngle: 45, adjustable: Ja, direction: 1}]","(:Dof {dofId: 19, nameNeg: extensie van de knie, dofDirection: ExtFlex, namePos: flexie van de knie, dofName: Flexie(+)/Extensie(-)_Knie})"
"(:Exo {exoId: 36, exoDescription: De Skelex 360-XFR is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Skelex 360-XFR, exoManufacturer: Skelex})","[:LIMITS_IN {aim: Nee, maxAngle: -25, minAngle: -25, adjustable: Nee, direction: -1}]","(:Dof {dofId: 12, nameNeg: retroflexie van de schouder, dofDirection: ExtFlex, namePos: anteflexie van de schouder, dofName: Anteflexie(+)/Retroflexie(-)_Schouder})"
