n,r,m
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})",[:HAS_AS_MAIN_DOF],"(:Dof {dofId: 2, nameNeg: lateroflexie van de rug naar links, dofDirection: AddAbd, namePos: lateroflexie van de rug naar rechts, dofName: Lateroflexie (Rechts(+)/Links(-))_Rug})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})",[:HAS_AS_MAIN_DOF],"(:Dof {dofId: 3, nameNeg: rotatie van de rug naar links, dofDirection: EndoExo, namePos: rotatie van de rug naar rechts, dofName: Rotatie (Rechts(+)/Links(-))_Rug})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AS_MAIN_DOF],"(:Dof {dofId: 12, nameNeg: retroflexie van de schouder, dofDirection: ExtFlex, namePos: anteflexie van de schouder, dofName: Anteflexie(+)/Retroflexie(-)_Schouder})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AS_MAIN_DOF],"(:Dof {dofId: 13, nameNeg: adductie van de schouder, dofDirection: AddAbd, namePos: abductie van de schouder, dofName: Abductie(+)/Adductie(-)_Schouder})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})","[:GIVES_RESISTANCE_IN {aim: Nee, rangeAdjustable: Nee, lowerBoundMinAngle: 20, lowerBoundMaxAngle: 20, upperBoundMinAngle: 180, sizeAdjustable: Nee, upperBoundMaxAngle: 180, direction: -1}]","(:Dof {dofId: 12, nameNeg: retroflexie van de schouder, dofDirection: ExtFlex, namePos: anteflexie van de schouder, dofName: Anteflexie(+)/Retroflexie(-)_Schouder})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})","[:GIVES_RESISTANCE_IN {aim: Nee, rangeAdjustable: Nee, lowerBoundMinAngle: 40, lowerBoundMaxAngle: 40, upperBoundMinAngle: 150, sizeAdjustable: Nee, upperBoundMaxAngle: 150, direction: -1}]","(:Dof {dofId: 13, nameNeg: adductie van de schouder, dofDirection: AddAbd, namePos: abductie van de schouder, dofName: Abductie(+)/Adductie(-)_Schouder})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})",[:HAS_AS_MAIN_DOF],"(:Dof {dofId: 12, nameNeg: retroflexie van de schouder, dofDirection: ExtFlex, namePos: anteflexie van de schouder, dofName: Anteflexie(+)/Retroflexie(-)_Schouder})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})",[:HAS_AS_MAIN_DOF],"(:Dof {dofId: 13, nameNeg: adductie van de schouder, dofDirection: AddAbd, namePos: abductie van de schouder, dofName: Abductie(+)/Adductie(-)_Schouder})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})","[:GIVES_RESISTANCE_IN {aim: Nee, rangeAdjustable: Nee, lowerBoundMinAngle: 25, lowerBoundMaxAngle: 25, upperBoundMinAngle: 180, sizeAdjustable: Ja, upperBoundMaxAngle: 180, direction: -1}]","(:Dof {dofId: 12, nameNeg: retroflexie van de schouder, dofDirection: ExtFlex, namePos: anteflexie van de schouder, dofName: Anteflexie(+)/Retroflexie(-)_Schouder})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})","[:GIVES_RESISTANCE_IN {aim: Nee, rangeAdjustable: Nee, lowerBoundMinAngle: 35, lowerBoundMaxAngle: 35, upperBoundMinAngle: 140, sizeAdjustable: Ja, upperBoundMaxAngle: 140, direction: -1}]","(:Dof {dofId: 13, nameNeg: adductie van de schouder, dofDirection: AddAbd, namePos: abductie van de schouder, dofName: Abductie(+)/Adductie(-)_Schouder})"
