n,r,m
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 8, partName: Object, partType: Object})"
"(:Exo {exoId: 1, exoDescription: De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CarrySuit, exoManufacturer: Auxivo})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 10, partName: Bekken, partType: Body})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 5, partName: Bovenarm, partType: Body})"
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 10, partName: Bekken, partType: Body})"
"(:Exo {exoId: 3, exoDescription: De Paexo Neck is een passief exoskelet dat de nek ontlast bij het statisch achteroverbuigen van het hoofd., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Neck, exoManufacturer: Ottobock Bionic Exoskeletons})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 1, partName: Hoofd, partType: Body})"
"(:Exo {exoId: 3, exoDescription: De Paexo Neck is een passief exoskelet dat de nek ontlast bij het statisch achteroverbuigen van het hoofd., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Neck, exoManufacturer: Ottobock Bionic Exoskeletons})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:Exo {exoId: 4, exoDescription: De Paexo Wrist is een passief exosuit dat de pols ondersteunt bij het hanteren van lasten., exoMaterial: zachte materialen, exoOneTwoSided: eenzijdig, exoActivePassive: passief, exoName: Paexo Wrist, exoManufacturer: Ottobock Bionic Exoskeletons})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 3, partName: Hand, partType: Body})"
"(:Exo {exoId: 4, exoDescription: De Paexo Wrist is een passief exosuit dat de pols ondersteunt bij het hanteren van lasten., exoMaterial: zachte materialen, exoOneTwoSided: eenzijdig, exoActivePassive: passief, exoName: Paexo Wrist, exoManufacturer: Ottobock Bionic Exoskeletons})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 4, partName: Onderarm, partType: Body})"
"(:Exo {exoId: 5, exoDescription: De SuitX BackX is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SuitX BackX, exoManufacturer: Ottobock Bionic Exoskeletons})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 6, partName: Romp, partType: Body})"
"(:Exo {exoId: 5, exoDescription: De SuitX BackX is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SuitX BackX, exoManufacturer: Ottobock Bionic Exoskeletons})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 11, partName: Bovenbeen, partType: Body})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})",[:TRANSFERS_FORCES_FROM],"(:Part {partId: 5, partName: Bovenarm, partType: Body})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})",[:TRANSFERS_FORCES_TO],"(:Part {partId: 10, partName: Bekken, partType: Body})"
